,Stock,Coefficient,LastDayChange
0,AARTIIND.NS,17.13078745202277,0.8724698162323935
1,ABBOTINDIA.NS,18.52043449611784,-1.3823696180196146
2,ACC.NS,2.6129799968173475,-0.8286667834377404
3,ADANIENT.NS,116.27694429288375,0.310139025251945
4,ADANIPORTS.NS,6.451585837919188,-0.763462095023412
5,ABFRL.NS,2.0805322859313073,-2.9272398972874365
6,APLLTD.NS,6.1055896836085175,-1.8727844597165921
7,ALKEM.NS,5.713115711281189,-0.6815580868490325
8,AMARAJABAT.NS,-0.2807373253790047,-1.3650754898313493
9,AMBUJACEM.NS,3.88371358428906,-0.3943217728884046
10,APOLLOHOSP.NS,20.394938917080122,0.9620533414909708
11,APOLLOTYRE.NS,-1.6286407377431897,-0.5138489190361708
12,ASHOKLEY.NS,-0.41353283220496406,0.0367129609972123
13,ASIANPAINT.NS,13.136480061079503,1.039652213215373
14,ASTRAL.NS,22.845629082306324,-0.16738063745264362
15,AUBANK.NS,6.085876542498833,-2.749456842073137
16,AUROPHARMA.NS,2.16566950021868,-1.2300067483183093
17,AXISBANK.NS,1.4076895741434792,-0.1252269758044576
18,BAJAJ-AUTO.NS,2.1860908957658585,-1.5636613087911988
19,BAJFINANCE.NS,19.9202125479654,0.6670485115586522
20,BAJAJFINSV.NS,12.610504821855189,-0.8783895183808217
21,BALKRISIND.NS,7.829211488178216,-1.8795044238430474
22,BANDHANBNK.NS,-4.868139348754552,-1.5184740752022314
23,BANKBARODA.NS,-3.2372326109107132,-2.8155794594794314
24,BATAINDIA.NS,9.171123543301073,-2.749389852699833
25,BERGEPAINT.NS,16.337049594122135,-0.21762453201469062
26,BEL.NS,2.526676688833856,-1.5380829343485396
27,BHARATFORG.NS,0.4912199993877365,-1.56024950359077
28,BPCL.NS,0.5330214625492479,-0.37268572320812093
29,BHARTIARTL.NS,5.173517593940936,-0.20133465460348038
30,BHEL.NS,-2.487611276073684,-2.2978697431848403
31,BIOCON.NS,3.1469657955088124,-0.26810119415561684
32,BOSCHLTD.NS,-1.770890818574119,-0.9326143796909147
33,BRITANNIA.NS,3.3699234920932395,-0.011226904653284672
34,CADILAHC.NS,2.9491767395720334,0.378738617707697
35,CANFINHOME.NS,3.5603857323594075,-2.5309555811781856
36,CANBK.NS,-3.048780440712486,-1.4942505350514845
37,CHOLAFIN.NS,8.000359698402248,4.87642616719911
38,CIPLA.NS,4.665388510043369,-0.7028881287037361
39,CUB.NS,-1.1213630933748109,-0.2424598752531944
40,COALINDIA.NS,-4.373466014505611,-0.5611029859853154
41,COFORGE.NS,43.16333485755904,0.35356216717374384
42,COLPAL.NS,3.5364574487022615,-1.0480379531213415
43,CONCOR.NS,1.1065353376503655,-2.7596392511085157
44,COROMANDEL.NS,5.944305538014588,-3.402432161216805
45,CROMPTON.NS,6.190164571135335,0.3268779911660109
46,CUMMINSIND.NS,0.5185803543139001,-0.4444417979336044
47,DABUR.NS,4.741364215987805,2.2056217562335236
48,DALBHARAT.NS,9.293859931670807,-0.07731161930470128
49,DEEPAKNTR.NS,66.0899096193117,1.124573384828199
50,DELTACORP.NS,-1.9493980320259132,-0.8928528496055101
51,DIVISLAB.NS,26.171534950774944,0.976880118190266
52,DIXON.NS,38.8312743892092,-0.7234199154807297
53,DLF.NS,4.18820529602624,-0.9386733416770965
54,LALPATHLAB.NS,23.181832422375454,-0.4876563108754596
55,DRREDDY.NS,9.97375726005378,-0.5215985021083175
56,EICHERMOT.NS,-0.16106864187253284,-1.4992094237505398
57,ESCORTS.NS,7.890964753978121,-1.2775783803800056
58,EXIDEIND.NS,-2.732362486056255,-1.4022841021688968
59,FEDERALBNK.NS,-1.0195440941303182,-2.1233553505776164
60,GAIL.NS,-1.931182933891267,-0.5800005643305015
61,GLENMARK.NS,-0.9389878536203813,-0.9674134419551934
62,GMRINFRA.NS,6.142382494531085,-2.3174970211768295
63,GODREJCP.NS,1.6015923048553313,-1.2001986627992
64,GODREJPROP.NS,11.518069594200808,-10.680864593817907
65,GRANULES.NS,16.37954567035154,-1.3587400238783491
66,GRASIM.NS,3.3629677898661776,0.14983562398940092
67,GUJGASLTD.NS,23.18711256332685,0.3889944094036697
68,HAVELLS.NS,8.707911140861587,0.23976059666751237
69,HCLTECH.NS,11.85641847409523,0.6057783581659035
70,HDFCAMC.NS,6.011831627801692,-0.367341259510027
71,HDFCBANK.NS,4.3847614989905646,0.5675869038098753
72,HDFCLIFE.NS,5.699206675005133,-1.6096819446005854
73,HDFC.NS,3.6502186653349575,-0.980727008014581
74,HEROMOTOCO.NS,-1.0881882449140858,-2.195278772848351
75,HINDALCO.NS,5.5401947551306865,2.380272192493356
76,HAL.NS,2.581470266060272,-1.1748374386400937
77,HINDPETRO.NS,-0.8138103440506782,-1.2273146974542086
78,HINDUNILVR.NS,5.7292421376120615,0.3663485196712813
79,ICICIBANK.NS,9.567115604911528,-0.48444500008680863
80,ICICIGI.NS,7.381573907491214,-1.4323954410983564
81,ICICIPRULI.NS,4.562987615356159,-1.567753752414836
82,IDFCFIRSTB.NS,0.18974955890240125,-1.0438413028648137
83,IBULHSGFIN.NS,-6.631375815346937,-2.402609633702226
84,INDIAMART.NS,65.9000103099368,-2.0225781123623108
85,IEX.NS,19.337913310261964,-1.181017791675497
86,IOC.NS,-2.6906503666828674,-0.4027386176840083
87,IRCTC.NS,53.393747140811186,-0.5725999899576395
88,IGL.NS,5.961415058655626,-1.1345014670980649
89,INDUSTOWER.NS,-1.481356416082419,-0.8424800865924332
90,INDUSINDBK.NS,-4.873483293890626,-0.24057191803100667
91,NAUKRI.NS,25.469683502865973,-3.10842536877586
92,INFY.NS,15.676292025816654,0.14645493042146335
93,INDIGO.NS,4.262636942776962,1.6638375157468448
94,IPCALAB.NS,22.516856154241026,-0.8729973033018272
95,ITC.NS,-2.5360879744041704,-0.0640178807215981
96,JINDALSTEL.NS,7.076554839303443,1.6258232789153517
97,JKCEMENT.NS,17.11555591066217,-0.32958307258530256
98,JSWSTEEL.NS,9.314228895995353,0.6389216289437477
99,JUBLFOOD.NS,21.42899450475874,0.635927022811574
100,KOTAKBANK.NS,5.40554540661832,-1.3188673336284995
101,L&TFH.NS,-3.981335869860597,-1.3262599201099199
102,LTI.NS,27.417257487687927,1.3323813325772047
103,LTTS.NS,18.563029223647792,-1.058575802953103
104,LT.NS,1.3132298429009603,0.7341013432716661
105,LICHSGFIN.NS,-1.9035082045647793,-1.0890180388756145
106,LUPIN.NS,1.857821207513277,-3.187340908494502
107,M&MFIN.NS,-5.911129299412678,-4.130085270579268
108,MGL.NS,1.1469613160405547,-1.0267091292655786
109,M&M.NS,0.0010713605953422143,-1.7227040263406177
110,MANAPPURAM.NS,5.013234124205005,-0.3819164999466768
111,MARICO.NS,4.146542523521402,1.811771662161107
112,MARUTI.NS,-1.0767272345363608,-0.5040680064090359
113,MFSL.NS,7.120611928617964,-2.561054133157948
114,METROPOLIS.NS,23.568022678581315,1.0167413818603144
115,MINDTREE.NS,32.883799264737085,1.3301057453274483
116,MOTHERSUMI.NS,0.2966888789404161,-0.4965483566810345
117,MPHASIS.NS,17.601532659284164,1.2484262475902728
118,MRF.NS,1.0697250574960655,-1.4009433735911863
119,MCX.NS,8.791569982529595,-2.755890062594966
120,MUTHOOTFIN.NS,19.19127207382227,-0.11263070859470184
121,NATIONALUM.NS,1.0971898981413968,0.8909592159170471
122,NAVINFLUOR.NS,29.645121643581753,0.3529364272979996
123,NESTLEIND.NS,10.480893173328658,0.1366531693339037
124,NMDC.NS,1.6089499219264123,-0.35854176899704393
125,NTPC.NS,-1.2256223017257042,-1.825631150488844
126,OBEROIRLTY.NS,3.8114026377105468,-0.38053344617573986
127,ONGC.NS,-2.5424814395147,1.2382111013804347
128,OFSS.NS,-0.19075636558425635,-2.4301799229363494
129,PAGEIND.NS,2.674285275279487,-1.8401879286640122
130,PERSISTENT.NS,27.89220711113945,-1.0800093649985454
131,PETRONET.NS,0.10293209082832706,-0.14101201022693888
